checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
0-200 DM,10,simdiye odendi,mobilya,1521,<100 DM,1-4 yil,4,A91,A101,2,A123,31,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,24,kritik hesap,egitim,5743,<100 DM,<1 yil,2,A92,A101,4,A124,24,A143,ucretsiz,2,vasifli,1,A192,A201,0
<0 DM,21,simdiye odendi,mobilya,3599,<100 DM,4-7 yil,1,A92,A101,4,A123,26,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,18,simdiye odendi,radyo/TV,3213,500-1000 DM,<1 yil,1,A94,A101,3,A121,25,A143,kira,1,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,is,4439,<100 DM,>=7 yil,1,A93,A102,1,A121,33,A141,kendi evi,1,yonetici/uzman,1,A192,A201,0
>=200 DM,10,simdiye odendi,araba(yeni),3949,<100 DM,<1 yil,1,A93,A103,1,A122,37,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
hesap yok,15,kritik hesap,radyo/TV,1459,<100 DM,1-4 yil,4,A92,A101,2,A123,43,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,13,kritik hesap,radyo/TV,882,<100 DM,<1 yil,4,A93,A103,4,A121,23,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,24,simdiye odendi,radyo/TV,3758,500-1000 DM,issiz,1,A92,A101,4,A124,23,A143,kira,1,issiz/vasifsiz,1,A191,A201,0
hesap yok,6,gecmiste gecikme,is,1743,100-500 DM,1-4 yil,1,A93,A101,2,A121,34,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,9,kritik hesap,egitim,1136,>=1000 DM,>=7 yil,4,A93,A101,3,A124,32,A143,ucretsiz,2,vasifli,2,A191,A201,1
hesap yok,9,simdiye odendi,ev aleti,1236,<100 DM,<1 yil,1,A92,A101,4,A121,23,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,9,simdiye odendi,mobilya,959,<100 DM,1-4 yil,1,A92,A101,2,A123,29,A143,kendi evi,1,vasifli,1,A191,A202,1
hesap yok,18,kritik hesap,araba(eski),3229,bilinmiyor,issiz,2,A93,A101,4,A124,38,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,12,kredi yok/hepsi odendi,radyo/TV,6199,<100 DM,1-4 yil,4,A93,A101,2,A122,28,A143,kira,2,vasifli,1,A192,A201,1
hesap yok,10,simdiye odendi,egitim,727,500-1000 DM,>=7 yil,4,A93,A101,4,A124,46,A143,ucretsiz,1,vasifli,1,A192,A201,0
0-200 DM,24,simdiye odendi,araba(yeni),1246,<100 DM,<1 yil,4,A93,A101,2,A121,23,A142,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,12,kritik hesap,radyo/TV,2331,bilinmiyor,>=7 yil,1,A93,A102,4,A121,49,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,36,gecmiste gecikme,radyo/TV,4463,<100 DM,1-4 yil,4,A93,A101,2,A123,26,A143,kendi evi,2,yonetici/uzman,1,A192,A201,1
hesap yok,12,simdiye odendi,radyo/TV,776,<100 DM,1-4 yil,4,A94,A101,2,A121,28,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,30,simdiye odendi,mobilya,2406,<100 DM,4-7 yil,4,A92,A101,4,A121,23,A143,kira,1,vasifli,1,A191,A201,1
0-200 DM,18,simdiye odendi,egitim,1239,bilinmiyor,1-4 yil,4,A93,A101,4,A124,61,A143,ucretsiz,1,vasifli,1,A191,A201,0
>=200 DM,12,simdiye odendi,radyo/TV,3399,bilinmiyor,>=7 yil,2,A93,A101,3,A123,37,A143,kendi evi,1,yonetici/uzman,1,A191,A201,0
>=200 DM,12,gecmiste gecikme,araba(yeni),2247,<100 DM,1-4 yil,2,A92,A101,2,A123,36,A142,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,6,simdiye odendi,mobilya,1766,<100 DM,1-4 yil,1,A94,A101,2,A122,21,A143,kira,1,vasifli,1,A191,A201,0
<0 DM,18,simdiye odendi,mobilya,2473,<100 DM,issiz,4,A93,A101,1,A123,25,A143,kendi evi,1,issiz/vasifsiz,1,A191,A201,1
hesap yok,12,simdiye odendi,is,1542,<100 DM,4-7 yil,2,A93,A101,4,A123,36,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,18,kritik hesap,araba(eski),3850,<100 DM,4-7 yil,3,A93,A101,1,A123,27,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,18,simdiye odendi,mobilya,3650,<100 DM,<1 yil,1,A92,A101,4,A123,22,A143,kira,1,vasifli,1,A191,A201,0
<0 DM,36,simdiye odendi,mobilya,3446,<100 DM,>=7 yil,4,A93,A101,2,A123,42,A143,kendi evi,1,vasifli,2,A191,A201,1
0-200 DM,18,simdiye odendi,mobilya,3001,<100 DM,4-7 yil,2,A92,A101,4,A121,40,A143,kira,1,vasifli,1,A191,A201,0
hesap yok,36,simdiye odendi,araba(yeni),3079,bilinmiyor,1-4 yil,4,A93,A101,4,A121,36,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,18,kritik hesap,radyo/TV,6070,<100 DM,>=7 yil,3,A93,A101,4,A123,33,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,10,kritik hesap,mobilya,2146,<100 DM,<1 yil,1,A92,A101,3,A121,23,A143,kira,2,vasifli,1,A191,A201,0
hesap yok,60,kritik hesap,araba(yeni),13756,bilinmiyor,>=7 yil,2,A93,A101,4,A124,63,A141,ucretsiz,1,yonetici/uzman,1,A192,A201,0
0-200 DM,60,bu bankada odendi,diger,14782,100-500 DM,>=7 yil,3,A92,A101,4,A124,60,A141,ucretsiz,2,yonetici/uzman,1,A192,A201,1
<0 DM,48,bu bankada odendi,is,7685,<100 DM,4-7 yil,2,A92,A103,4,A123,37,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,18,gecmiste gecikme,radyo/TV,2320,<100 DM,issiz,2,A94,A101,3,A121,34,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,7,gecmiste gecikme,radyo/TV,846,bilinmiyor,>=7 yil,3,A93,A101,4,A124,36,A143,ucretsiz,1,vasifli,1,A191,A201,0
0-200 DM,36,simdiye odendi,araba(yeni),14318,<100 DM,>=7 yil,4,A93,A101,2,A124,57,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,1
hesap yok,6,kritik hesap,araba(yeni),362,100-500 DM,1-4 yil,4,A92,A101,4,A123,52,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,20,simdiye odendi,mobilya,2212,bilinmiyor,4-7 yil,4,A93,A101,4,A123,39,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,18,simdiye odendi,araba(eski),12976,<100 DM,issiz,3,A92,A101,4,A124,38,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,1
hesap yok,22,simdiye odendi,araba(yeni),1283,bilinmiyor,4-7 yil,4,A92,A101,4,A122,25,A143,kira,1,vasifli,1,A191,A201,0
>=200 DM,12,simdiye odendi,araba(yeni),1330,<100 DM,<1 yil,4,A93,A101,1,A121,26,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,30,gecmiste gecikme,is,4272,100-500 DM,1-4 yil,2,A93,A101,2,A122,26,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,18,kritik hesap,radyo/TV,2238,<100 DM,1-4 yil,2,A92,A101,1,A123,25,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,radyo/TV,1126,bilinmiyor,<1 yil,4,A92,A101,2,A121,21,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,18,kritik hesap,mobilya,7374,<100 DM,issiz,4,A93,A101,4,A122,40,A142,kendi evi,2,yonetici/uzman,1,A192,A201,0
0-200 DM,15,kritik hesap,is,2326,500-1000 DM,1-4 yil,2,A93,A101,4,A123,27,A141,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,9,simdiye odendi,is,1449,<100 DM,4-7 yil,3,A92,A101,2,A123,27,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,araba(yeni),1820,<100 DM,1-4 yil,2,A94,A101,2,A122,30,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,12,simdiye odendi,mobilya,983,>=1000 DM,<1 yil,1,A92,A101,4,A121,19,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,36,simdiye odendi,araba(yeni),3249,<100 DM,4-7 yil,2,A93,A101,4,A124,39,A141,ucretsiz,1,yonetici/uzman,2,A192,A201,0
<0 DM,6,kritik hesap,radyo/TV,1957,<100 DM,4-7 yil,1,A92,A101,4,A123,31,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,9,kritik hesap,mobilya,2406,<100 DM,issiz,2,A93,A101,3,A123,31,A143,kendi evi,1,yonetici/uzman,1,A191,A201,0
0-200 DM,39,gecmiste gecikme,egitim,11760,100-500 DM,4-7 yil,2,A93,A101,3,A124,32,A143,kira,1,vasifli,1,A192,A201,0
<0 DM,12,simdiye odendi,mobilya,2578,<100 DM,issiz,3,A92,A101,4,A124,55,A143,ucretsiz,1,yonetici/uzman,1,A191,A201,0
<0 DM,36,kritik hesap,mobilya,2348,<100 DM,1-4 yil,3,A94,A101,2,A122,46,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,12,simdiye odendi,araba(yeni),1223,<100 DM,>=7 yil,1,A91,A101,1,A121,46,A143,kira,2,vasifli,1,A191,A201,1
hesap yok,24,kritik hesap,radyo/TV,1516,>=1000 DM,1-4 yil,4,A92,A101,1,A121,43,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,18,simdiye odendi,radyo/TV,1473,<100 DM,<1 yil,3,A94,A101,4,A121,39,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,18,kritik hesap,is,1887,bilinmiyor,1-4 yil,4,A94,A101,4,A121,28,A141,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,24,gecmiste gecikme,is,8648,<100 DM,<1 yil,2,A93,A101,2,A123,27,A141,kendi evi,2,vasifli,1,A192,A201,1
hesap yok,14,gecmiste gecikme,araba(yeni),802,<100 DM,1-4 yil,4,A93,A101,2,A123,27,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,18,gecmiste gecikme,araba(yeni),2899,bilinmiyor,>=7 yil,4,A93,A101,4,A123,43,A143,kendi evi,1,vasifli,2,A191,A201,0
0-200 DM,24,simdiye odendi,radyo/TV,2039,<100 DM,<1 yil,1,A94,A101,1,A122,22,A143,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,24,kritik hesap,araba(eski),2197,bilinmiyor,4-7 yil,4,A93,A101,4,A123,43,A143,kendi evi,2,vasifli,2,A192,A201,0
<0 DM,15,simdiye odendi,radyo/TV,1053,<100 DM,<1 yil,4,A94,A101,2,A121,27,A143,kendi evi,1,vasifli,1,A191,A202,0
hesap yok,24,simdiye odendi,radyo/TV,3235,500-1000 DM,>=7 yil,3,A91,A101,2,A123,26,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
>=200 DM,12,kritik hesap,araba(yeni),939,500-1000 DM,4-7 yil,4,A94,A101,2,A121,28,A143,kendi evi,3,vasifli,1,A192,A201,1
0-200 DM,24,simdiye odendi,radyo/TV,1967,<100 DM,>=7 yil,4,A92,A101,4,A123,20,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,33,kritik hesap,araba(eski),7253,<100 DM,4-7 yil,3,A93,A101,2,A123,35,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
hesap yok,12,kritik hesap,is,2292,<100 DM,issiz,4,A93,A101,2,A123,42,A142,kendi evi,2,yonetici/uzman,1,A192,A201,1
hesap yok,10,simdiye odendi,araba(yeni),1597,500-1000 DM,1-4 yil,3,A93,A101,2,A124,40,A143,kira,1,vasifsiz-yerlesik,2,A191,A202,0
<0 DM,24,simdiye odendi,araba(yeni),1381,bilinmiyor,1-4 yil,4,A92,A101,2,A122,35,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,36,kritik hesap,araba(eski),5842,<100 DM,>=7 yil,2,A93,A101,2,A122,35,A143,kendi evi,2,vasifli,2,A192,A201,0
<0 DM,12,simdiye odendi,araba(yeni),2579,<100 DM,<1 yil,4,A93,A101,1,A121,33,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
<0 DM,18,gecmiste gecikme,egitim,8471,bilinmiyor,1-4 yil,1,A92,A101,2,A123,23,A143,kira,2,vasifli,1,A192,A201,0
hesap yok,21,simdiye odendi,araba(yeni),2782,500-1000 DM,4-7 yil,1,A92,A101,2,A123,31,A141,kendi evi,1,yonetici/uzman,1,A191,A201,0
0-200 DM,18,simdiye odendi,araba(yeni),1042,bilinmiyor,1-4 yil,4,A92,A101,2,A122,33,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,15,simdiye odendi,araba(yeni),3186,>=1000 DM,4-7 yil,2,A92,A101,3,A123,20,A143,kira,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,araba(eski),2028,bilinmiyor,1-4 yil,4,A93,A101,2,A123,30,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,kritik hesap,araba(yeni),958,<100 DM,4-7 yil,2,A93,A101,3,A121,47,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,0
hesap yok,21,gecmiste gecikme,mobilya,1591,100-500 DM,4-7 yil,4,A93,A101,3,A121,34,A143,kendi evi,2,yonetici/uzman,1,A191,A201,0
0-200 DM,12,simdiye odendi,mobilya,2762,bilinmiyor,>=7 yil,1,A92,A101,2,A122,25,A141,kendi evi,1,vasifli,1,A192,A201,1
0-200 DM,18,simdiye odendi,araba(eski),2779,<100 DM,1-4 yil,1,A94,A101,3,A123,21,A143,kira,1,vasifli,1,A192,A201,0
hesap yok,28,kritik hesap,radyo/TV,2743,<100 DM,>=7 yil,4,A93,A101,2,A123,29,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,kritik hesap,radyo/TV,1149,>=1000 DM,1-4 yil,4,A93,A101,3,A121,46,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,9,simdiye odendi,mobilya,1313,<100 DM,>=7 yil,1,A93,A101,4,A123,20,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,18,kritik hesap,tamirat,1190,<100 DM,issiz,2,A92,A101,4,A124,55,A143,ucretsiz,3,issiz/vasifsiz,2,A191,A201,1
hesap yok,5,simdiye odendi,is,3448,<100 DM,4-7 yil,1,A93,A101,4,A121,74,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,24,simdiye odendi,diger,11328,<100 DM,1-4 yil,2,A93,A102,3,A123,29,A141,kendi evi,2,yonetici/uzman,1,A192,A201,1
<0 DM,6,kritik hesap,mobilya,1872,<100 DM,issiz,4,A93,A101,4,A124,36,A143,ucretsiz,3,yonetici/uzman,1,A192,A201,0
hesap yok,24,kritik hesap,tamirat,2058,<100 DM,1-4 yil,4,A91,A101,2,A121,33,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,9,simdiye odendi,mobilya,2136,<100 DM,1-4 yil,3,A93,A101,2,A121,25,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,1484,bilinmiyor,1-4 yil,2,A94,A101,1,A121,25,A143,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,6,simdiye odendi,tamirat,660,500-1000 DM,4-7 yil,2,A94,A101,4,A121,23,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,24,kritik hesap,araba(yeni),1287,>=1000 DM,>=7 yil,4,A92,A101,4,A121,37,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,42,kritik hesap,tamirat,3394,<100 DM,issiz,4,A93,A102,4,A123,65,A143,kendi evi,2,issiz/vasifsiz,1,A191,A201,0
>=200 DM,12,bu bankada odendi,is,609,<100 DM,<1 yil,4,A92,A101,1,A121,26,A143,kendi evi,1,issiz/vasifsiz,1,A191,A201,1
hesap yok,12,simdiye odendi,araba(yeni),1884,<100 DM,>=7 yil,4,A93,A101,4,A123,39,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,12,simdiye odendi,mobilya,1620,<100 DM,1-4 yil,2,A92,A102,3,A122,30,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,20,gecmiste gecikme,diger,2629,<100 DM,1-4 yil,2,A93,A101,3,A123,29,A141,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,12,simdiye odendi,egitim,719,<100 DM,>=7 yil,4,A93,A101,4,A123,41,A141,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
0-200 DM,48,kritik hesap,mobilya,5096,<100 DM,1-4 yil,2,A92,A101,3,A123,30,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,9,kritik hesap,egitim,1244,bilinmiyor,>=7 yil,4,A92,A101,4,A122,41,A143,kira,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,36,simdiye odendi,araba(yeni),1842,<100 DM,<1 yil,4,A92,A101,4,A123,34,A143,kendi evi,1,vasifli,1,A192,A201,1
0-200 DM,7,simdiye odendi,radyo/TV,2576,<100 DM,1-4 yil,2,A93,A103,2,A121,35,A143,kendi evi,1,vasifli,1,A191,A201,0
>=200 DM,12,simdiye odendi,mobilya,1424,bilinmiyor,>=7 yil,3,A92,A101,4,A121,55,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,15,gecmiste gecikme,tamirat,1512,>=1000 DM,1-4 yil,3,A94,A101,3,A122,61,A142,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,36,kritik hesap,araba(eski),11054,bilinmiyor,1-4 yil,4,A93,A101,2,A123,30,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
hesap yok,6,simdiye odendi,radyo/TV,518,<100 DM,1-4 yil,3,A92,A101,1,A121,29,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,12,kredi yok/hepsi odendi,mobilya,2759,<100 DM,>=7 yil,2,A93,A101,4,A122,34,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,araba(eski),2670,<100 DM,>=7 yil,4,A93,A101,4,A123,35,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,24,simdiye odendi,araba(yeni),4817,<100 DM,4-7 yil,2,A93,A102,3,A122,31,A143,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,24,simdiye odendi,araba(eski),2679,<100 DM,<1 yil,4,A92,A101,1,A124,29,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,11,kritik hesap,araba(yeni),3905,<100 DM,1-4 yil,2,A93,A101,2,A121,36,A143,kira,2,vasifli,2,A191,A201,0
<0 DM,12,simdiye odendi,araba(eski),3386,<100 DM,>=7 yil,3,A93,A101,4,A124,35,A143,ucretsiz,1,vasifli,1,A192,A201,1
<0 DM,6,simdiye odendi,ev aleti,343,<100 DM,<1 yil,4,A92,A101,1,A121,27,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,radyo/TV,4594,<100 DM,<1 yil,3,A93,A101,2,A123,32,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,36,simdiye odendi,mobilya,3620,<100 DM,1-4 yil,1,A93,A103,2,A122,37,A143,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,15,simdiye odendi,araba(yeni),1721,<100 DM,<1 yil,2,A93,A101,3,A121,36,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,mobilya,3017,<100 DM,<1 yil,3,A92,A101,1,A121,34,A143,kira,1,yonetici/uzman,1,A191,A201,0
0-200 DM,12,simdiye odendi,yeniden egitim,754,bilinmiyor,>=7 yil,4,A93,A101,4,A122,38,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,is,1950,<100 DM,4-7 yil,4,A93,A101,1,A123,34,A142,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,24,simdiye odendi,araba(eski),2924,<100 DM,1-4 yil,3,A93,A103,4,A124,63,A141,kendi evi,1,vasifli,2,A192,A201,0
<0 DM,24,gecmiste gecikme,radyo/TV,1659,<100 DM,<1 yil,4,A92,A101,2,A123,29,A143,kira,1,vasifsiz-yerlesik,1,A192,A201,1
hesap yok,48,gecmiste gecikme,radyo/TV,7238,bilinmiyor,>=7 yil,3,A93,A101,3,A123,32,A141,kendi evi,2,vasifli,2,A191,A201,0
hesap yok,33,gecmiste gecikme,is,2764,<100 DM,1-4 yil,2,A92,A101,2,A123,26,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,24,gecmiste gecikme,araba(eski),4679,<100 DM,4-7 yil,3,A93,A101,3,A123,35,A143,kendi evi,2,vasifsiz-yerlesik,1,A192,A201,0
0-200 DM,24,simdiye odendi,radyo/TV,3092,100-500 DM,<1 yil,3,A94,A101,2,A123,22,A143,kira,1,vasifli,1,A192,A201,1
<0 DM,6,simdiye odendi,egitim,448,<100 DM,<1 yil,4,A92,A101,4,A122,23,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,9,simdiye odendi,araba(yeni),654,<100 DM,1-4 yil,4,A93,A101,3,A123,28,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,6,simdiye odendi,yeniden egitim,1238,bilinmiyor,issiz,4,A93,A101,4,A122,36,A143,kendi evi,1,yonetici/uzman,2,A192,A201,0
0-200 DM,18,kritik hesap,radyo/TV,1245,<100 DM,1-4 yil,4,A94,A101,2,A123,33,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,18,kredi yok/hepsi odendi,mobilya,3114,<100 DM,<1 yil,1,A92,A101,4,A122,26,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,39,simdiye odendi,araba(eski),2569,500-1000 DM,1-4 yil,4,A93,A101,4,A123,24,A143,kendi evi,1,vasifli,1,A191,A201,0
>=200 DM,24,simdiye odendi,radyo/TV,5152,<100 DM,4-7 yil,4,A93,A101,2,A123,25,A141,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,is,1037,100-500 DM,4-7 yil,3,A93,A101,4,A121,39,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,15,kritik hesap,mobilya,1478,<100 DM,>=7 yil,4,A93,A101,4,A123,44,A143,kendi evi,2,vasifli,2,A192,A201,0
0-200 DM,12,kritik hesap,radyo/TV,3573,<100 DM,1-4 yil,1,A92,A101,1,A121,23,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,24,simdiye odendi,araba(yeni),1201,<100 DM,<1 yil,4,A93,A101,1,A122,26,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,30,simdiye odendi,mobilya,3622,>=1000 DM,>=7 yil,4,A92,A101,4,A122,57,A143,kira,2,vasifli,1,A192,A201,0
hesap yok,15,gecmiste gecikme,mobilya,960,>=1000 DM,4-7 yil,3,A92,A101,2,A122,30,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,12,kritik hesap,araba(yeni),1163,500-1000 DM,1-4 yil,4,A93,A101,4,A121,44,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,6,gecmiste gecikme,araba(yeni),1209,<100 DM,issiz,4,A93,A101,4,A122,47,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,12,simdiye odendi,radyo/TV,3077,<100 DM,1-4 yil,2,A93,A101,4,A123,52,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,24,simdiye odendi,araba(yeni),3757,<100 DM,>=7 yil,4,A92,A102,4,A124,62,A143,ucretsiz,1,vasifli,1,A192,A201,0
hesap yok,10,simdiye odendi,araba(yeni),1418,100-500 DM,1-4 yil,3,A93,A101,2,A121,35,A143,kira,1,vasifsiz-yerlesik,1,A191,A202,0
hesap yok,6,simdiye odendi,araba(yeni),3518,<100 DM,1-4 yil,2,A93,A103,3,A122,26,A143,kira,1,vasifli,1,A191,A201,0
hesap yok,12,kritik hesap,radyo/TV,1934,<100 DM,>=7 yil,2,A93,A101,2,A124,26,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,27,kredi yok/hepsi odendi,is,8318,<100 DM,>=7 yil,2,A92,A101,4,A124,42,A143,ucretsiz,2,yonetici/uzman,1,A192,A201,1
hesap yok,6,kritik hesap,radyo/TV,1237,100-500 DM,1-4 yil,1,A92,A101,1,A122,27,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,6,simdiye odendi,radyo/TV,368,bilinmiyor,>=7 yil,4,A93,A101,4,A122,38,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,12,kritik hesap,araba(yeni),2122,<100 DM,1-4 yil,3,A93,A101,2,A121,39,A143,kira,2,vasifsiz-yerlesik,2,A191,A202,0
<0 DM,24,simdiye odendi,mobilya,2996,bilinmiyor,1-4 yil,2,A94,A101,4,A123,20,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,36,simdiye odendi,mobilya,9034,100-500 DM,<1 yil,4,A93,A102,1,A124,29,A143,kira,1,yonetici/uzman,1,A192,A201,1
hesap yok,24,kritik hesap,mobilya,1585,<100 DM,4-7 yil,4,A93,A101,3,A122,40,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,radyo/TV,1301,<100 DM,>=7 yil,4,A94,A103,2,A121,32,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
>=200 DM,6,kritik hesap,araba(yeni),1323,100-500 DM,>=7 yil,2,A91,A101,4,A123,28,A143,kendi evi,2,vasifli,2,A192,A201,0
<0 DM,24,simdiye odendi,araba(yeni),3123,<100 DM,<1 yil,4,A92,A101,1,A122,27,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,36,simdiye odendi,araba(eski),5493,<100 DM,>=7 yil,2,A93,A101,4,A124,42,A143,ucretsiz,1,vasifli,2,A191,A201,0
>=200 DM,9,simdiye odendi,radyo/TV,1126,100-500 DM,>=7 yil,2,A91,A101,4,A121,49,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,24,kritik hesap,radyo/TV,1216,100-500 DM,<1 yil,4,A93,A101,4,A124,38,A141,kendi evi,2,vasifli,2,A191,A201,1
<0 DM,24,simdiye odendi,araba(yeni),1207,<100 DM,<1 yil,4,A92,A101,4,A122,24,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,10,simdiye odendi,araba(yeni),1309,bilinmiyor,1-4 yil,4,A93,A103,4,A122,27,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
>=200 DM,15,kritik hesap,araba(eski),2360,500-1000 DM,1-4 yil,2,A93,A101,2,A123,36,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,15,bu bankada odendi,araba(yeni),6850,100-500 DM,issiz,1,A93,A101,2,A122,34,A143,kendi evi,1,yonetici/uzman,2,A192,A201,1
hesap yok,24,simdiye odendi,radyo/TV,1413,<100 DM,1-4 yil,4,A94,A101,2,A122,28,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,39,simdiye odendi,araba(eski),8588,100-500 DM,>=7 yil,4,A93,A101,2,A123,45,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
